"local_cloaking_4","local_cloaking_200","local_cloaking_400","local_cloaking_600","local_cloaking_800","local_cloaking_1000"
27,68,206,116,14,78
90,449,760,601,361,80
55,19,34,86,287,15
1,17,8,1,356,560
113,325,208,48,367,276
3,55,267,114,199,178
42,171,782,59,683,880
14,72,56,368,769,128
6,331,38,150,723,282
2,22,23,131,857,21
2,4,350,536,146,451
1,62,34,201,201,478
10,91,168,190,129,324
3,142,200,191,542,92
10,75,274,35,352,424
2,25,353,610,1510,437
20,546,916,433,483,1210
21,45,23,66,87,9
3,141,20,668,164,166
3,36,405,649,1139,280
3,19,9,901,587,156
1,150,308,183,803,642
0,228,80,503,84,1086
2,12,153,551,1045,229
4,38,841,40,658,1975
1,491,170,374,466,559
6,68,271,27,30,568
20,202,99,99,9,216
5,7,50,109,243,586
1,328,95,331,22,914
4,254,132,639,189,208
1,182,403,880,648,12
2,39,181,186,128,94
15,137,30,300,716,1767
5,38,371,55,282,497
3,31,160,125,1,375
13,199,288,148,120,100
1,56,99,192,160,95
84,223,566,570,440,80
4,234,582,401,296,159
1,1,46,391,203,732
3,46,54,121,219,29
4,29,155,48,137,316
2,1,5,479,645,212
66,30,774,208,227,372
11,136,65,1219,835,1113
27,230,266,207,636,275
6,263,23,822,700,62
10,39,17,21,132,121
10,88,15,667,47,462
2,10,56,14,583,9
7,116,18,104,285,404
2,29,155,102,207,421
3,35,354,530,585,384
10,137,53,394,1494,480
183,19,227,61,14,986
10,7,534,1,619,581
2,32,319,224,43,131
3,34,213,318,24,12
1,26,81,243,1228,252
1,115,40,253,401,1232
8,4,417,82,481,155
26,22,125,160,447,54
6,10,133,122,514,440
4,123,242,136,545,67
4,137,266,388,392,18
72,46,169,93,92,520
21,8,22,581,404,852
19,26,7,19,278,1162
1,75,166,212,90,286
4,73,21,116,97,31
14,130,123,33,242,50
8,596,45,90,921,878
5,116,84,18,44,185
12,985,78,291,1073,1928
5,378,48,130,16,1459
15,156,6,226,88,138
6,489,875,39,1418,168
3,34,172,136,1084,14
1,17,456,4,54,197
5,14,89,45,369,151
1,52,60,595,70,487
13,6,206,101,484,1304
1,11,19,245,184,730
25,84,470,143,2,343
10,128,81,154,109,555
104,59,233,512,87,203
13,1,122,241,268,174
11,28,296,616,98,160
26,15,325,704,216,300
2,98,598,169,72,246
17,47,46,124,215,1502
15,13,106,334,347,364
50,118,354,28,70,449
2,124,12,172,732,159
2,16,92,187,117,33
7,105,58,714,192,80
30,37,230,35,429,611
28,23,25,434,279,312
20,149,170,182,166,325
6,65,118,709,155,176
