dcr_values,nndr_values,type,round
3.8245485,0.9450036,Reference,round_0
3.1825147,0.99671954,Reference,round_0
4.3914804,0.982418,Reference,round_0
2.4514816,0.8546425,Reference,round_0
4.2974367,0.99693555,Reference,round_0
3.8890176,0.98926866,Reference,round_0
2.5324342,0.9550789,Reference,round_0
3.289597,0.90867436,Reference,round_0
2.9071398,0.91813105,Reference,round_0
4.854303,0.7519185,Reference,round_0
2.750274,0.7715748,Reference,round_0
3.2152116,0.98452365,Reference,round_0
3.4973433,0.96395445,Reference,round_0
3.6498802,0.99768543,Reference,round_0
1.8682557,0.87328285,Reference,round_0
3.5787954,0.9830725,Reference,round_0
3.9904175,0.8228487,Reference,round_0
3.6506488,0.9790079,Reference,round_0
4.2761254,0.9430022,Reference,round_0
2.839123,0.9050426,Reference,round_0
1.8213652,0.5913488,Reference,round_0
4.104626,0.88967824,Reference,round_0
3.3691106,0.9701488,Reference,round_0
2.484289,0.9828447,Reference,round_0
2.9901521,0.8317381,Reference,round_0
1.7066725,0.51434547,Reference,round_0
3.8042002,0.94469017,Reference,round_0
3.4941165,0.9566601,Reference,round_0
1.6220948,0.9789866,Reference,round_0
2.7502525,0.7218674,Reference,round_0
4.2907305,0.9632568,Reference,round_0
4.5002956,0.9438138,Reference,round_0
1.6132197,0.7812069,Reference,round_0
4.8466835,0.81318027,Reference,round_0
2.9569564,0.90782547,Reference,round_0
1.6820103,0.8364468,Reference,round_0
4.8282466,0.89599586,Reference,round_0
2.0114162,0.792941,Reference,round_0
3.36518,0.9804273,Reference,round_0
4.151123,0.96653634,Reference,round_0
3.0218542,0.7732449,Reference,round_0
3.4168262,0.9289225,Reference,round_0
3.088821,0.9959005,Reference,round_0
2.734476,0.76235294,Reference,round_0
3.4211972,0.9920063,Reference,round_0
3.4662297,0.92535263,Reference,round_0
2.774897,0.9804181,Reference,round_0
1.2176822,0.52672654,Reference,round_0
2.4813538,0.76221865,Reference,round_0
4.43539,0.72970206,Reference,round_0
3.083805,0.9681606,Reference,round_0
2.4912164,0.9426586,Reference,round_0
2.4724731,0.96330804,Reference,round_0
3.4966502,0.95872945,Reference,round_0
3.1757307,0.9838911,Reference,round_0
2.7787087,0.8227708,Reference,round_0
3.959905,0.8560674,Reference,round_0
4.0073104,0.94999987,Reference,round_0
2.3428001,0.93223244,Reference,round_0
3.4796405,0.92064786,Reference,round_0
2.851772,0.9831184,Reference,round_0
1.2782692,0.6023174,Reference,round_0
3.071947,0.9324698,Reference,round_0
2.2983932,0.98709214,Reference,round_0
4.7488427,0.9116711,Reference,round_0
2.740102,0.8730166,Reference,round_0
4.0796266,0.9404861,Reference,round_0
2.896915,0.7995294,Reference,round_0
2.6516836,0.943305,Reference,round_0
1.1874615,0.79924446,Reference,round_0
4.54679,0.84759,Reference,round_0
2.5638714,0.95176053,Reference,round_0
2.5937757,0.818505,Reference,round_0
3.3469224,0.8968033,Reference,round_0
1.7672274,0.7775368,Reference,round_0
1.6607857,0.5355847,Reference,round_0
1.5359004,0.73356223,Reference,round_0
3.5457497,0.9017522,Reference,round_0
2.495347,0.89075774,Reference,round_0
1.8199363,0.516478,Reference,round_0
4.789692,0.99813426,Reference,round_0
2.3246775,0.7776383,Reference,round_0
2.0571756,0.7201308,Reference,round_0
4.8566885,0.9946505,Reference,round_0
2.5304158,0.9838357,Reference,round_0
4.0758963,0.928643,Reference,round_0
2.117283,0.7885234,Reference,round_0
2.8747134,0.97678757,Reference,round_0
3.420594,0.9581421,Reference,round_0
1.1329825,0.70675033,Reference,round_0
2.790429,0.9647492,Reference,round_0
2.8353207,0.94795364,Reference,round_0
4.0153728,0.88696367,Reference,round_0
4.0383987,0.97918415,Reference,round_0
2.467386,0.8161727,Reference,round_0
2.1582217,0.88169086,Reference,round_0
1.9433898,0.81106645,Reference,round_0
2.4987447,0.9741546,Reference,round_0
3.11088,0.85995734,Reference,round_0
2.5273967,0.9686438,Reference,round_0
2.982003,0.8615185,Reference,round_0
2.8807778,0.70707965,Reference,round_0
2.0695398,0.9066127,Reference,round_0
4.429573,0.9992886,Reference,round_0
1.5788325,0.960787,Reference,round_0
1.1802242,0.6349397,Reference,round_0
3.6403918,0.8355636,Reference,round_0
2.8745527,0.86773026,Reference,round_0
1.3859262,0.5993016,Reference,round_0
3.402189,0.77015704,Reference,round_0
2.7292972,0.8311435,Reference,round_0
3.6807394,0.96224207,Reference,round_0
2.2878633,0.8999406,Reference,round_0
2.6182895,0.9988407,Reference,round_0
2.1102157,0.909392,Reference,round_0
3.7684295,0.9265992,Reference,round_0
1.4377786,0.6604269,Reference,round_0
3.137094,0.9305532,Reference,round_0
3.2117963,0.97146374,Reference,round_0
1.8844074,0.69703555,Reference,round_0
3.0802057,0.9508817,Reference,round_0
2.4289973,0.86647636,Reference,round_0
2.5200982,0.90696245,Reference,round_0
2.709152,0.90288,Reference,round_0
3.2283685,0.91915745,Reference,round_0
1.0148284,0.3220833,Reference,round_0
2.7720907,0.93310416,Reference,round_0
2.6832952,0.89183486,Reference,round_0
5.137474,0.8924626,Reference,round_0
2.8842888,0.9052373,Reference,round_0
2.5087976,0.88963825,Reference,round_0
3.582801,0.9223691,Reference,round_0
2.8170068,0.8567414,Reference,round_0
3.08173,0.9590307,Reference,round_0
3.0977454,0.9821535,Reference,round_0
1.9067147,0.90336406,Reference,round_0
4.753188,0.9531542,Reference,round_0
2.8482547,0.9321277,Reference,round_0
4.475314,0.95775396,Reference,round_0
3.991176,0.85317004,Reference,round_0
5.6458488,0.97061825,Reference,round_0
1.065345,0.87194973,Reference,round_0
2.5627143,0.78945607,Reference,round_0
2.6295505,0.5293278,Reference,round_0
3.1611247,0.9432059,Reference,round_0
1.5744247,0.80702597,Reference,round_0
1.3909308,0.9602564,Reference,round_0
2.0453014,0.85816824,Reference,round_0
2.8333733,0.9413339,Reference,round_0
2.5688071,0.8655645,Reference,round_0
2.6325655,0.95095223,Reference,round_0
4.132665,0.9763371,Reference,round_0
2.9565382,0.9496043,Reference,round_0
3.5007973,0.9225241,Reference,round_0
3.277782,0.98039335,Reference,round_0
2.6829362,0.72522956,Reference,round_0
3.5526824,0.89411616,Reference,round_0
2.5626242,0.911801,Reference,round_0
3.5365794,0.736596,Reference,round_0
4.600148,0.9699908,Reference,round_0
3.9011059,0.96180606,Reference,round_0
3.1255736,0.9655545,Reference,round_0
1.9246172,0.7962941,Reference,round_0
1.52956,0.45916802,Reference,round_0
0.9930743,0.68172324,Reference,round_0
3.1509233,0.8544775,Reference,round_0
2.357163,0.7556546,Reference,round_0
3.6162593,0.99440837,Reference,round_0
2.467988,0.95088404,Reference,round_0
3.8406022,0.9705557,Reference,round_0
1.1379782,0.41001102,Reference,round_0
4.9137993,0.98501617,Reference,round_0
3.1549323,0.8449323,Reference,round_0
1.8099158,0.9040019,Reference,round_0
2.4397466,0.9113561,Reference,round_0
1.5204097,0.6032896,Reference,round_0
3.4952705,0.9788614,Reference,round_0
1.2603393,0.9382406,Reference,round_0
3.9246564,0.9941903,Reference,round_0
2.1042635,0.8208983,Reference,round_0
4.3984704,0.9929801,Reference,round_0
3.20061,0.84678894,Reference,round_0
4.103319,0.98299074,Reference,round_0
2.4404702,0.8209996,Reference,round_0
3.1899028,0.92363614,Reference,round_0
3.7044423,0.8517509,Reference,round_0
4.008041,0.99765074,Reference,round_0
2.9792826,0.8387967,Reference,round_0
1.2919904,0.61239517,Reference,round_0
2.0836623,0.9191877,Reference,round_0
3.6756008,0.95836055,Reference,round_0
3.3144836,0.7480588,Reference,round_0
3.095543,0.99980795,Reference,round_0
2.1846356,0.79545814,Reference,round_0
2.1859732,0.89664114,Reference,round_0
3.5027204,0.8965643,Reference,round_0
3.1402776,0.8962406,Reference,round_0
2.633578,0.96906704,Reference,round_0
2.416292,0.8232066,Reference,round_0
2.1104755,0.77799344,Reference,round_0
2.3575246,0.8875375,Reference,round_0
4.565059,0.9323872,Reference,round_0
1.558442,0.6755417,Reference,round_0
3.2071216,0.9019459,Reference,round_0
3.345549,0.98365176,Reference,round_0
4.5856233,0.83653635,Reference,round_0
2.897758,0.9139624,Reference,round_0
2.4570312,0.83555746,Reference,round_0
3.37775,0.67555344,Reference,round_0
4.554407,0.9487522,Reference,round_0
3.230908,0.9105281,Reference,round_0
3.8905795,0.85951567,Reference,round_0
2.7936018,0.9905871,Reference,round_0
3.778198,0.79248303,Reference,round_0
3.7531784,0.96986246,Reference,round_0
4.398249,0.8751901,Reference,round_0
4.1322412,0.89157665,Reference,round_0
2.5516567,0.9102039,Reference,round_0
2.4742463,0.75871485,Reference,round_0
3.0960093,0.9914777,Reference,round_0
2.5048792,0.9438219,Reference,round_0
3.3995845,0.99013805,Reference,round_0
1.2251948,0.6773296,Reference,round_0
2.980239,0.84932476,Reference,round_0
2.802635,0.968131,Reference,round_0
0.8186879,0.60565126,Reference,round_0
3.9054344,0.9947797,Reference,round_0
1.025091,0.72806275,Reference,round_0
1.9503618,0.8207195,Reference,round_0
2.6696882,0.98570836,Reference,round_0
3.0503373,0.9342121,Reference,round_0
3.1196096,0.9714256,Reference,round_0
1.7909826,0.8299356,Reference,round_0
1.787166,0.7837051,Reference,round_0
5.1751413,0.9395635,Reference,round_0
2.986233,0.78794736,Reference,round_0
3.06924,0.9523158,Reference,round_0
2.572686,0.88352025,Reference,round_0
3.8864293,0.9341084,Reference,round_0
4.1405883,0.9748699,Reference,round_0
3.5232902,0.8207806,Reference,round_0
1.0368464,0.4528692,Reference,round_0
3.899128,0.9547745,Reference,round_0
1.7034335,0.78672796,Reference,round_0
3.3887496,0.9206602,Reference,round_0
3.0499122,0.9791328,Reference,round_0
1.4363399,0.7230823,Reference,round_0
1.8313929,0.96829844,Reference,round_0
1.4477341,0.8630725,Reference,round_0
1.6805009,0.77905655,Reference,round_0
2.3776567,0.9611914,Reference,round_0
2.4085224,0.6191486,Reference,round_0
1.2809426,0.8341013,Reference,round_0
5.587825,0.81329256,Reference,round_0
2.5343888,0.90010583,Reference,round_0
4.5378385,0.9512887,Reference,round_0
3.790375,0.92134416,Reference,round_0
2.7475965,0.8758715,Reference,round_0
3.2550943,0.97637606,Reference,round_0
5.763477,0.9990754,Reference,round_0
1.5093929,0.93064123,Reference,round_0
4.5693336,0.98250717,Reference,round_0
2.9458487,0.947632,Reference,round_0
1.4727223,0.56647104,Reference,round_0
3.65522,0.84739655,Reference,round_0
2.966089,0.9122722,Reference,round_0
2.3338063,0.9185586,Reference,round_0
3.8290157,0.93767834,Reference,round_0
2.4952745,0.69476134,Reference,round_0
3.7155783,0.89895266,Reference,round_0
2.8102102,0.9518225,Reference,round_0
4.4301906,0.99345315,Reference,round_0
3.3494563,0.98652977,Reference,round_0
2.7332692,0.8500387,Reference,round_0
1.4917023,0.7543661,Reference,round_0
2.997311,0.9190122,Reference,round_0
4.1836057,0.9507914,Reference,round_0
2.885282,0.7426653,Reference,round_0
4.2108192,0.92378664,Reference,round_0
3.238254,0.8353654,Reference,round_0
2.3775718,0.9819332,Reference,round_0
3.338473,0.93232465,Reference,round_0
1.3163903,0.5998632,Reference,round_0
1.2250049,0.8083137,Reference,round_0
2.235091,0.7236904,Reference,round_0
4.2131557,0.9465954,Reference,round_0
3.047974,0.90121996,Reference,round_0
4.51619,0.87918234,Reference,round_0
4.3100595,0.89586824,Reference,round_0
1.989456,0.94781846,Reference,round_0
2.376385,0.66631156,Reference,round_0
2.1734731,0.8620482,Reference,round_0
2.797242,0.74738705,Reference,round_0
1.9578362,0.68780994,Reference,round_0
2.6387932,0.8583879,Reference,round_0
2.009611,0.76395404,Reference,round_0
2.0140374,0.6688873,Reference,round_0
2.735969,0.91667587,Reference,round_0
2.4158032,0.98223525,Reference,round_0
5.670776,0.9047436,Reference,round_0
3.517687,0.87796485,Reference,round_0
3.6020248,0.7820589,Reference,round_0
2.585078,0.9384491,Reference,round_0
4.659874,0.9894034,Reference,round_0
2.3914387,0.76222116,Reference,round_0
3.540567,0.7719928,Reference,round_0
3.7704241,0.8941149,Reference,round_0
3.450481,0.8096486,Reference,round_0
1.5517035,0.88372415,Reference,round_0
3.6603916,0.9579207,Reference,round_0
3.247217,0.86650455,Reference,round_0
1.0831492,0.6951764,Reference,round_0
3.4304466,0.9432581,Reference,round_0
3.6902637,0.9328321,Reference,round_0
3.4417841,0.9494329,Reference,round_0
1.1680831,0.94881886,Reference,round_0
2.3249245,0.7984673,Reference,round_0
2.718454,0.93100303,Reference,round_0
3.864317,0.762139,Reference,round_0
2.6455033,0.9466293,Reference,round_0
3.162107,0.913669,Reference,round_0
3.0330334,0.91684467,Reference,round_0
1.5726622,0.9829342,Reference,round_0
3.721661,0.94141304,Reference,round_0
1.9574853,0.7604178,Reference,round_0
2.4541414,0.9864166,Reference,round_0
2.0740612,0.80728745,Reference,round_0
3.1483746,0.8452443,Reference,round_0
3.0599074,0.86116856,Reference,round_0
4.0633917,0.96603006,Reference,round_0
2.6401136,0.8274267,Reference,round_0
2.4052851,0.61899734,Reference,round_0
3.8257916,0.89506865,Reference,round_0
