,0,perf,type
212,94.87179487179486,spec,Synthpop
213,96.875,ppv,Synthpop
214,96.1038961038961,npv,Synthpop
215,0.999650257108288,auc,Synthpop
216,0.9707317073170731,acc,Original
217,99.2248062015504,sens,Original
218,93.42105263157895,spec,Original
219,96.2406015037594,ppv,Original
220,98.61111111111111,npv,Original
221,0.9964957544717639,auc,Original
222,0.9317073170731708,acc,Synthpop
223,95.16129032258065,sens,Synthpop
224,90.12345679012346,spec,Synthpop
225,93.65079365079364,ppv,Synthpop
226,92.40506329113924,npv,Synthpop
227,0.9954210366317069,auc,Synthpop
228,0.975609756097561,acc,Original
229,99.23076923076923,sens,Original
230,94.66666666666667,spec,Original
231,96.99248120300751,ppv,Original
232,98.61111111111111,npv,Original
233,0.9932803203881625,auc,Original
234,0.9707317073170731,acc,Synthpop
235,98.54014598540147,sens,Synthpop
236,94.11764705882352,spec,Synthpop
237,97.12230215827337,ppv,Synthpop
238,96.96969696969697,npv,Synthpop
239,0.9963472004427637,auc,Synthpop
240,0.975609756097561,acc,Original
241,100.0,sens,Original
242,93.5064935064935,spec,Original
243,96.2406015037594,ppv,Original
244,100.0,npv,Original
245,0.9947243776113368,auc,Original
246,0.9609756097560975,acc,Synthpop
247,99.24242424242425,sens,Synthpop
248,90.41095890410958,spec,Synthpop
249,94.92753623188406,ppv,Synthpop
250,98.50746268656717,npv,Synthpop
251,0.9884187370600415,auc,Synthpop
252,0.9560975609756097,acc,Original
253,98.4375,sens,Original
254,90.9090909090909,spec,Original
255,94.73684210526315,ppv,Original
256,97.22222222222221,npv,Original
257,0.9959373856788031,auc,Original
258,0.9804878048780488,acc,Synthpop
259,97.72727272727273,sens,Synthpop
260,98.63013698630137,spec,Synthpop
261,99.23076923076923,ppv,Synthpop
262,96.0,npv,Synthpop
263,0.9952682871763998,auc,Synthpop
264,0.975609756097561,acc,Original
265,98.48484848484848,sens,Original
266,95.8904109589041,spec,Original
267,97.74436090225564,ppv,Original
268,97.22222222222221,npv,Original
269,0.9911046075052468,auc,Original
270,0.9658536585365853,acc,Synthpop
271,96.82539682539682,sens,Synthpop
272,96.20253164556962,spec,Synthpop
273,97.6,ppv,Synthpop
274,95.0,npv,Synthpop
275,0.9969712555003143,auc,Synthpop
276,0.9609756097560975,acc,Original
277,96.99248120300751,sens,Original
278,94.44444444444444,spec,Original
279,96.99248120300751,ppv,Original
280,94.44444444444444,npv,Original
281,0.9952634923079885,auc,Original
282,0.9512195121951219,acc,Synthpop
283,97.54098360655738,sens,Synthpop
284,91.56626506024097,spec,Synthpop
285,94.44444444444444,ppv,Synthpop
286,96.20253164556962,npv,Synthpop
287,0.9986605107159143,auc,Synthpop
288,0.9658536585365853,acc,Original
289,97.72727272727273,sens,Original
290,94.52054794520548,spec,Original
291,96.99248120300751,ppv,Original
292,95.83333333333334,npv,Original
293,0.9966497872422357,auc,Original
294,0.9560975609756097,acc,Synthpop
295,99.18032786885246,sens,Synthpop
296,90.36144578313254,spec,Synthpop
297,93.7984496124031,ppv,Synthpop
298,98.68421052631578,npv,Synthpop
299,0.9969259783121169,auc,Synthpop
300,0.975609756097561,acc,Original
301,99.23076923076923,sens,Original
302,94.66666666666667,spec,Original
303,96.99248120300751,ppv,Original
304,98.61111111111111,npv,Original
305,0.9913356566609547,auc,Original
306,0.9463414634146341,acc,Synthpop
307,97.65625,sens,Synthpop
308,89.6103896103896,spec,Synthpop
309,93.98496240601504,ppv,Synthpop
310,95.83333333333334,npv,Synthpop
311,0.9779432372339829,auc,Synthpop
312,0.9512195121951219,acc,Original
313,96.2406015037594,sens,Original
314,93.05555555555556,spec,Original
315,96.2406015037594,ppv,Original
316,93.05555555555556,npv,Original
317,0.9928182220767469,auc,Original
318,0.9609756097560975,acc,Synthpop
319,97.65625,sens,Synthpop
320,93.5064935064935,spec,Synthpop
