"local_cloaking_4","local_cloaking_50","local_cloaking_100","local_cloaking_150","local_cloaking_200","local_cloaking_300"
48,65,154,40,35,156
70,66,7,205,162,15
20,21,20,25,30,35
26,24,27,27,28,32
21,21,90,145,98,370
18,7,213,32,7,432
12,14,19,15,15,14
11,12,44,3,324,156
233,326,187,344,157,29
6,5,4,79,434,5
8,8,8,8,8,9
10,11,12,14,270,92
9,9,9,17,10,13
9,9,9,17,10,13
26,24,27,27,28,32
20,21,20,25,30,35
3,2,239,3,1,197
13,8,93,7,177,213
13,125,57,108,86,20
1,322,64,65,114,258
103,66,23,2,98,196
27,33,38,6,0,146
45,125,11,37,149,110
75,56,0,199,151,132
20,21,20,25,30,155
22,24,24,26,27,23
13,105,24,75,124,146
3,4,4,3,16,183
10,11,12,14,14,18
22,24,24,26,27,23
22,24,24,26,27,23
26,24,27,27,28,32
88,123,20,98,328,326
90,24,173,97,39,29
4,112,82,121,72,195
12,14,19,15,15,14
9,19,27,43,112,231
30,30,31,31,36,30
233,237,229,12,240,84
3,3,2,67,4,84
14,108,205,197,49,193
10,11,12,13,11,16
13,327,68,115,192,110
38,100,51,64,52,86
29,170,48,188,89,169
5,5,2,105,268,6
60,91,45,64,32,98
10,11,12,14,14,18
4,4,4,359,85,300
219,134,6,205,9,22
20,21,20,25,30,35
184,57,189,118,108,134
20,21,20,25,30,35
6,5,6,5,120,312
11,14,12,12,15,18
26,7,208,119,134,150
125,105,33,100,674,60
25,18,101,107,63,20
148,383,18,254,389,145
30,30,31,31,36,30
107,166,115,37,33,229
10,11,12,13,11,16
18,18,27,148,7,164
90,62,2,30,117,25
0,16,7,115,11,251
213,4,278,407,240,297
64,158,202,238,165,16
375,178,289,75,358,177
20,21,20,25,30,35
11,14,12,12,15,18
10,11,12,14,14,18
20,21,20,25,30,35
7,3,36,1,8,18
19,35,202,125,24,203
30,30,31,31,36,30
211,138,212,222,65,36
157,42,30,98,189,20
172,113,30,139,235,152
107,395,222,137,174,423
11,10,10,12,14,14
10,13,14,12,8,17
185,111,129,206,53,146
10,11,12,14,14,18
30,30,31,31,36,30
180,9,225,33,71,84
12,14,19,15,15,14
93,5,260,309,156,392
121,29,12,12,36,46
97,104,28,64,329,39
10,13,14,12,9,84
6,5,4,4,3,5
6,2,152,123,200,368
20,21,20,25,30,35
20,21,20,25,30,35
30,30,31,31,36,30
11,10,10,12,14,14
20,21,20,25,30,35
2,2,1,306,84,1
3,2,282,355,302,214
4,2,1,61,25,193
20,21,20,25,30,35
300,244,133,31,176,46
135,224,184,310,19,3
3,3,320,429,4,2
11,14,12,12,118,18
11,11,15,18,20,60
20,21,20,25,30,35
10,11,12,14,14,18
51,10,56,46,63,85
66,18,152,9,161,194
30,30,31,31,36,30
22,24,24,26,27,23
12,11,13,362,17,11
2,2,291,3,4,3
2,8,9,385,205,170
18,60,40,200,124,231
30,30,31,31,36,30
199,16,8,47,435,58
11,11,15,18,20,10
12,159,139,152,92,144
59,5,11,88,261,30
42,88,88,51,69,158
70,161,122,84,189,203
9,10,10,9,10,13
96,43,170,13,129,73
22,24,24,26,27,23
77,33,137,138,25,154
3,2,4,316,225,2
10,11,12,13,11,16
30,30,31,31,36,30
11,10,10,12,14,14
31,13,21,47,183,40
24,87,231,53,31,215
126,11,110,256,304,168
30,30,31,31,36,30
30,30,31,31,36,30
30,30,31,31,36,30
30,30,31,31,36,30
171,290,355,253,107,144
10,13,14,12,8,17
299,61,199,408,125,28
3,2,13,2,263,3
12,62,190,27,88,154
12,14,19,15,15,14
33,41,197,302,363,425
235,225,111,401,344,346
11,10,10,12,14,14
96,107,45,149,9,211
124,40,51,68,72,42
59,17,87,174,48,67
